[Cum 13.03.2026 16:04:17,52] Zapret kuruldu ve basladi 
[Cum 13.03.2026 16:05:59,49] Zapret kuruldu ve basladi 
[Cum 13.03.2026 16:07:02,81] Zapret kuruldu ve basladi 
[Cum 13.03.2026 18:13:50,82] ========== KALDIR ISLEMI BASLADI ========== 
[Cum 13.03.2026 18:13:50,90] [INFO] Calisir winws.exe bulunamadi 
[Cum 13.03.2026 18:13:50,92] [OK] Zamanlayici gorevi silindi 
[Cum 13.03.2026 18:13:50,96] [INFO] Firewall kurali bulunamadi 
[Cum 13.03.2026 18:13:50,96] ========== KALDIR ISLEMI TAMAMLANDI ========== 
[Cum 13.03.2026 18:13:59,47] ========== KURULUM BASLADI ========== 
[Cum 13.03.2026 18:13:59,47] [OK] bin\winws.exe bulundu 
[Cum 13.03.2026 18:13:59,49] [OK] Eski gorev temizlendi 
[Cum 13.03.2026 18:13:59,53] [OK] Calisan processler kapatildi 
[Cum 13.03.2026 18:13:59,57] [OK] Zamanlayici gorevi olusturuldu 
[Cum 13.03.2026 18:13:59,58] [OK] Zapret servisi baslatildi 
[Cum 13.03.2026 18:13:59,59] [OK] DNS cache temizlendi 
[Cum 13.03.2026 18:13:59,63] [OK] Firewall kurali eklendi 
[Cum 13.03.2026 18:13:59,63] ========== KURULUM BASARI ILE TAMAMLANDI ========== 
[Cum 13.03.2026 18:13:59,69] [INFO] Zapret bypass servisi baslatildi 
[Cum 13.03.2026 18:13:59,70] [OK] DNS cache temizlendi 
[Paz 15.03.2026  1:18:01,20] ========== KURULUM BASLADI ========== 
[Paz 15.03.2026  1:18:01,21] [OK] bin\winws.exe bulundu 
[Paz 15.03.2026  1:18:01,23] [OK] Eski gorev temizlendi 
[Paz 15.03.2026  1:18:01,33] [OK] Calisan processler kapatildi 
[Paz 15.03.2026  1:18:01,35] [HATA] winws.exe kapandi - Hata kodu: 9009 
[Paz 15.03.2026  1:18:01,37] [OK] Zamanlayici gorevi olusturuldu 
[Paz 15.03.2026  1:18:01,38] [OK] Zapret servisi baslatildi 
[Paz 15.03.2026  1:18:01,39] [OK] DNS cache temizlendi 
[Paz 15.03.2026  1:18:01,50] [OK] Firewall kurali eklendi 
[Paz 15.03.2026  1:18:01,50] ========== KURULUM BASARI ILE TAMAMLANDI ========== 
[Paz 15.03.2026  1:18:01,66] [INFO] Zapret bypass servisi baslatildi 
[Paz 15.03.2026  1:18:01,67] [OK] DNS cache temizlendi 
[Paz 15.03.2026  1:27:28,92] ========== KURULUM BASLADI ========== 
[Paz 15.03.2026  1:27:28,92] [OK] bin\winws.exe bulundu 
[Paz 15.03.2026  1:27:28,95] [OK] Eski gorev temizlendi 
[Paz 15.03.2026  1:27:29,03] [OK] Calisan processler kapatildi 
